name,MAE,RMSE,MAPE,SMAPE,Biais
Prophet,92135.73909140316,103449.73038460339,6.198570862104393,6.293291573157841,-35922.3281745199
HW-Multiplicatif,105502.90804028744,131515.4566510499,7.883090271499461,7.407762164921435,98804.65169268714
HW-Additif,111926.66405865569,142333.13919241406,8.367691113027664,7.8138296150876805,89930.37335935673
"SARIMA(1, 1, 1)",186870.85860977357,201510.99852248747,13.48576101239426,12.452370918342233,186870.85860977357
